Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Series D - Lithium Technologies,https://www.crunchbase.com/funding_round/lithiumtechnologies-series-d--62285d49,Lithium Technologies,https://www.crunchbase.com/organization/lithiumtechnologies,Series D,"$53,400,000","Jan 5, 2012",Late Stage Venture,,Yes,5,2
Series E - SuVolta,https://www.crunchbase.com/funding_round/suvolta-series-e--8f6fab48,SuVolta,https://www.crunchbase.com/organization/suvolta,Series E,"$17,600,000","Jan 5, 2012",Late Stage Venture,,Yes,6,3
Venture Round - 3-V Biosciences,https://www.crunchbase.com/funding_round/3-v-biosciences-series-unknown--3c34e0d1,3-V Biosciences,https://www.crunchbase.com/organization/3-v-biosciences,Venture - Series Unknown,"$20,000,000","Jan 5, 2012",,,Yes,2,2
Venture Round - BeachMint,https://www.crunchbase.com/funding_round/beachmint-series-unknown--cc068d3b,BeachMint,https://www.crunchbase.com/organization/beachmint,Venture - Series Unknown,"$36,175,009","Jan 1, 2012",,,Yes,9,4
Series A - ClarVista Medical,https://www.crunchbase.com/funding_round/clarvista-medical-series-a--45708a44,ClarVista Medical,https://www.crunchbase.com/organization/clarvista-medical,Series A,,"Jan 1, 2012",Early Stage Venture,,Yes,1,
Seed Round - IFTTT,https://www.crunchbase.com/funding_round/if-this-then-that-seed--b015e748,IFTTT,https://www.crunchbase.com/organization/if-this-then-that,Seed,"$1,500,000","Jan 1, 2012",Seed,,Yes,16,4
Seed Round - Sentons,https://www.crunchbase.com/funding_round/sentons-seed--77b0402c,Sentons,https://www.crunchbase.com/organization/sentons,Seed,"$75,000","Jan 1, 2012",Seed,,Yes,2,1
Seed Round - DonorsPlay,https://www.crunchbase.com/funding_round/donorsplay-seed--df3c9ec4,DonorsPlay,https://www.crunchbase.com/organization/donorsplay,Seed,"$400,000","Jan 1, 2012",Seed,,Yes,1,
Venture Round - Moximed,https://www.crunchbase.com/funding_round/moximed-series-unknown--e958a37b,Moximed,https://www.crunchbase.com/organization/moximed,Venture - Series Unknown,"$1,770,000","Jan 1, 2012",,,Yes,4,2
Venture Round - SCI Solution,https://www.crunchbase.com/funding_round/sci-solution-series-unknown--a95b9935,SCI Solution,https://www.crunchbase.com/organization/sci-solution,Venture - Series Unknown,"$1,013,000","Jan 1, 2012",,,Yes,1,
Venture Round - PatientKeeper,https://www.crunchbase.com/funding_round/patientkeeper-series-unknown--85ebf994,PatientKeeper,https://www.crunchbase.com/organization/patientkeeper,Venture - Series Unknown,"$6,000,000","Dec 22, 2011",,,Yes,3,1
Seed Round - Omada Health,https://www.crunchbase.com/funding_round/omada-health-seed--a8f79239,Omada Health,https://www.crunchbase.com/organization/omada-health,Seed,"$800,000","Dec 21, 2011",Seed,,Yes,6,
Series B - Enverv,https://www.crunchbase.com/funding_round/enverv-series-b--17ffac4a,Enverv,https://www.crunchbase.com/organization/enverv,Series B,"$12,000,000","Dec 19, 2011",Early Stage Venture,,Yes,3,2
Series A - Goji Food Solutions,https://www.crunchbase.com/funding_round/goji-food-solutions-series-a--9bd3cf73,Goji Food Solutions,https://www.crunchbase.com/organization/goji-food-solutions,Series A,"$25,000,000","Nov 22, 2011",Early Stage Venture,,Yes,1,
Series B - newBrandAnalytics,https://www.crunchbase.com/funding_round/newbrandanalytics-series-b--25fb55ca,newBrandAnalytics,https://www.crunchbase.com/organization/newbrandanalytics,Series B,"$26,000,000","Nov 10, 2011",Early Stage Venture,,Yes,4,1
Series C - Lot18,https://www.crunchbase.com/funding_round/lot18-series-c--1006ef75,Lot18,https://www.crunchbase.com/organization/lot18,Series C,"$30,000,000","Nov 4, 2011",Late Stage Venture,,Yes,3,1
Series A - Euclid,https://www.crunchbase.com/funding_round/euclid-series-a--e3d41231,Euclid,https://www.crunchbase.com/organization/euclid,Series A,"$5,800,000","Nov 3, 2011",Early Stage Venture,,Yes,2,1
