Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Categories,Number of Employees,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Acquisition Status,Operating Status,Founded Date,Closed Date,Company Type,Investor Type,Investment Stage,Number of Lead Investors,Number of Investors,Number of Investments,Number of Lead Investments,Number of Exits,Number of Portfolio Organizations,Website,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Hortonworks,https://www.crunchbase.com/organization/hortonworks,"Data and Analytics, Software","Santa Clara, California, United States",Hortonworks is a business computer software company that focuses on the development and support of Apache Hadoop.,405,"Big Data, Enterprise Software, Software",501-1000,8,5,IPO,"Jul 24, 2014","$50,000,000",Series D,"$50,000,000",Series D,"$248,000,000","$248,000,000",Public,"Dec 11, 2014",,"$100,000,000","$659,000,000",Made Acquisitions,Active,"Jun 1, 2011",,,,,6,10,,,,,http://www.hortonworks.com,,,
Venmo,https://www.crunchbase.com/organization/venmo,"Financial Services, Mobile, Payments","New York, New York, United States",Venmo offers an app that allows users to share and make payments with friends for a variety of services from.,570,"Finance, Mobile, Payments",51-100,2,3,M&A,"Aug 1, 2011",,Series A,,Series A,"$1,200,000","$1,300,000",Private,,,,,Was Acquired,Active,"Apr 4, 2009",,For Profit,,,1,10,,,,,http://venmo.com,,,
Renren Inc.,https://www.crunchbase.com/organization/renren-inc,Internet Services,"Chaoyang, Liaoning, China",Renren.com is an online social network service that offers an extensive interactive communication platform for Chinese users.,705,"Internet, Social Network",1001-5000,1,2,IPO,"Apr 30, 2008","$430,000,000",Private Equity,"$430,000,000",Private Equity,"$478,000,000","$478,000,000",Public,"May 4, 2011",,"$743,400,000","$16,461,053,406",Made Acquisitions,Active,2002,,,,,,7,30,17,3,23,http://renren-inc.com,,,
Rovio Entertainment,https://www.crunchbase.com/organization/rovio-entertainment,"Apps, Gaming, Media and Entertainment, Mobile, Software","Espoo, Southern Finland, Finland","Rovio Entertainment is an entertainment media company that develops, publishes, and distributes video games.",719,"Digital Entertainment, Gaming, Mobile Apps",501-1000,3,2,IPO,"Jun 6, 2014","‰âÂ25,000,000",Debt Financing,"$42,000,000",Series A,"$42,000,000","$76,106,830",Public,"Sep 29, 2017",,,"$1,000,000,000",Made Acquisitions,Active,2003,,For Profit,,,2,4,,,,,http://www.rovio.com,,,
Supercell,https://www.crunchbase.com/organization/supercell,Gaming,"Helsinki, Southern Finland, Finland",Supercell is a video game development company for tablets and smart phones.,723,"Gaming, PC Games, Video Games",51-100,6,3,M&A,"Apr 18, 2013","$130,000,000",Series B,"$130,000,000",Series B,"$143,032,267","$143,032,267",Private,,,,,"Made Acquisitions, Was Acquired",Active,"May 1, 2010",,,,,3,9,2,2,,2,http://supercell.com/,,,
Alfresco,https://www.crunchbase.com/organization/alfresco,"Information Technology, Software","San Mateo, California, United States",Alfresco is an enterprise open-source software company automating content centric processes for digital business,758,"Collaboration, Document Management, Enterprise, Enterprise Software",1-Oct,2,4,M&A,"Aug 21, 2014","$45,000,000",Series D,"$45,000,000",Series D,"$68,500,000","$68,500,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,"Jan 1, 2005",,,,,4,4,,,,,http://www.alfresco.com,,,
LearnVest,https://www.crunchbase.com/organization/learnvest,Financial Services,"New York, New York, United States","LearnVest is a program for your money. Our mission is to make financial planning affordable, accessible, and even delightful.",967,"Financial Services, FinTech, Personal Finance, Service Industry",101-250,1,5,M&A,"Apr 15, 2014","$28,000,000",Series D,"$28,000,000",Series D,"$69,030,000","$69,030,000",Private,,,,,Was Acquired,Active,"May 1, 2007",,For Profit,,,1,15,,,,,http://www.learnvest.com,,,
Varonis Systems,https://www.crunchbase.com/organization/varonis-systems,"Data and Analytics, Government and Military, Software","New York, New York, United States","Varonis Systems provides actionable data governance solutions for financial services, healthcare, energy, manufacturing and tech companies.","1,126","Analytics, Big Data, Government, Software",501-1000,2,6,IPO,"Feb 2, 2018","$1,670,000",Post-IPO Equity,"$1,670,000",Post-IPO Equity,"$30,457,685","$30,457,685",Public,"Feb 28, 2014",,"$105,600,000","$524,380,010",,Active,2005,,For Profit,,,2,5,,,,,http://www.varonis.com,,,
Metacafe,https://www.crunchbase.com/organization/metacafe,"Gaming, Media and Entertainment, Music and Audio, Sports, Video","Palo Alto, California, United States","Metacafe is a website providing short-form video entertainment in movies, video games, sports, music and TV.","1,140","Music, Sports, Video, Video Games",,3,4,M&A,"Jun 4, 2010","$5,000,000",Debt Financing,"$30,000,000",Series B,"$48,000,000","$53,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,"Jul 1, 2003",,,,,4,4,,,,,http://supplementlook.com/,,,
Brightcove,https://www.crunchbase.com/organization/brightcove,"Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Software, Video","Boston, Massachusetts, United States",Brightcove is offers cloud-based platforms to publish and distribute digital media.,"1,277","Analytics, Cloud Computing, Digital Media, Enterprise Software, Publishing, Video",251-500,1,8,IPO,"Feb 10, 2014","$39,907,658",Post-IPO Equity,"$39,907,658",Post-IPO Equity,"$198,007,658","$198,007,658",Public,"Feb 17, 2012",,"$55,000,000","$290,125,407",Made Acquisitions,Active,Jan-04,,For Profit,,,6,16,,,,,https://www.brightcove.com/en/,,,
