Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Categories,Number of Employees,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Acquisition Status,Operating Status,Founded Date,Closed Date,Company Type,Investor Type,Investment Stage,Number of Lead Investors,Number of Investors,Number of Investments,Number of Lead Investments,Number of Exits,Number of Portfolio Organizations,Website,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Zarget,https://www.crunchbase.com/organization/zarget,"Data and Analytics, Internet Services, Sales and Marketing, Software","Walnut, California, United States",Zarget is a SaaS-based conversion rate optimization company that provides comprehensive solutions for small- and medium-sized businesses.,"4,053","A/B Testing, Internet, Marketing, SaaS, Software",Nov-50,3,2,M&A,"Nov 2, 2016","$6,000,000",Series A,"$6,000,000",Series A,"$7,500,000","$7,500,000",Private,,,,,Was Acquired,Active,"Feb 18, 2015",,For Profit,,,1,4,,,,,http://www.zarget.com,,,
Altiscale,https://www.crunchbase.com/organization/altiscale,"Consumer Electronics, Data and Analytics, Hardware, Software","Palo Alto, California, United States",Altiscale is a big data platform that operates through the cloud service.,"4,187","Big Data, Computer, Software",51-100,,2,M&A,"Nov 26, 2014","$30,000,000",Series B,"$30,000,000",Series B,"$42,000,000","$42,000,000",Private,,,,,Was Acquired,Active,2012,,For Profit,,,3,6,,,,,http://www.altiscale.com,,,
Legendary Entertainment,https://www.crunchbase.com/organization/legendary-entertainment,"Content and Publishing, Media and Entertainment, Video","Burbank, California, United States","Legendary Entertainment is a media company owning, producing and delivering content to mainstream audiences.","4,583","Content Delivery Network, Film Production, Media and Entertainment, TV",51-100,1,5,M&A,"Oct 3, 2014","$250,000,000",Private Equity,"$250,000,000",Private Equity,"$861,000,000","$1,011,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,2004,,For Profit,,,4,14,2,,,2,http://www.legendary.com,,,
Fusion-io,https://www.crunchbase.com/organization/fusion-io,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Salt Lake City, Utah, United States","Fusion-io offers a platform that accelerates databases, virtualization, cloud computing, big data and applications that drive the economy.","4,648","Cloud Computing, Database, Enterprise Software, Flash Storage, Infrastructure, Virtualization",,2,3,M&A,"Apr 21, 2010","$45,000,000",Series C,"$45,000,000",Series C,"$111,500,000","$111,500,000",Public,"Jun 9, 2011",,"$233,700,000","$1,478,372,596","Made Acquisitions, Was Acquired",Active,2006,,,,,3,11,,,,,http://www.fusionio.com,,,
CommonFloor,https://www.crunchbase.com/organization/commonfloor,"Commerce and Shopping, Professional Services, Real Estate","Bangalore, Karnataka, India","CommonFloor enables users to buy, sell, and rent residential properties online in India.","4,671","Commercial Real Estate, E-Commerce, Intellectual Property, Real Estate",1001-5000,3,6,M&A,"Jan 8, 2015","$15,000,000",Series F,"$15,000,000",Series F,"$62,900,000","$62,900,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,2007,,For Profit,,,2,3,1,,,1,http://www.commonfloor.com,,,
DataGravity,https://www.crunchbase.com/organization/datagravity,"Information Technology, Software","Nashua, New Hampshire, United States",DataGravity is a software company engaged in the IT industry and is focused on providing data security and remediation services.,"4,948","Enterprise Software, Information Services, Information Technology",101-250,2,3,M&A,"Dec 8, 2014","$50,000,000",Series C,"$50,000,000",Series C,"$92,000,000","$92,000,000",Private,,,,,Was Acquired,Active,2012,,For Profit,,,4,4,,,,,http://www.datagravity.com,,,
Joyus,https://www.crunchbase.com/organization/joyus,"Commerce and Shopping, Consumer Goods, Sports","San Francisco, California, United States",Joyus is a startup that aims to enhance the online shopping experience by helping shoppers discover goods through short-form videos.,"5,011","Beauty, E-Commerce, Fitness, Shopping, Social Shopping",Nov-50,2,4,M&A,"Jun 4, 2015","$24,000,000",Series C,"$24,000,000",Series C,"$67,400,000","$67,400,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,2011,,For Profit,,,5,10,,,,,http://www.joyus.com,,,
Dealer.com,https://www.crunchbase.com/organization/dealer-com,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing","Burlington, Vermont, United States",Dealer.com is a provider of a streamlined and intuitive solution for managing dealership marketing and operations.,"5,134","Advertising, Digital Media, Social Media",501-1000,2,2,M&A,"Aug 25, 2011",,Venture - Series Unknown,,Venture - Series Unknown,"$5,000,000","$5,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,"Nov 6, 1998",,,,,,1,,,,,http://www.dealer.com,,,
Opower,https://www.crunchbase.com/organization/opower,"Energy, Government and Military, Information Technology, Software, Sustainability","Arlington, Virginia, United States",Opower is a SaaS-based customer engagement and energy efficiency company providing the tools consumers need to make better energy decisions.,"5,381","Energy Efficiency, GovTech, Power Grid, SaaS, Software",501-1000,2,5,M&A,"Apr 3, 2014",,Venture - Series Unknown,,Venture - Series Unknown,"$68,350,000","$68,350,000",Public,"Apr 4, 2014",,"$115,900,000","$901,736,941",Was Acquired,Active,2007,,For Profit,,,5,9,,,,,http://www.opower.com,,,
SilverRail Technologies,https://www.crunchbase.com/organization/silverrail-technologies,"Information Technology, Transportation, Travel and Tourism","London, England, United Kingdom",SilverRail offers best-in-class technical solutions that help railways and travel distributors easily connect with each other.,"5,503","Information Technology, Transportation, Travel",101-250,2,4,M&A,"Apr 14, 2014","$40,000,000",Series C,"$40,000,000",Series C,"$69,000,000","$69,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,"Apr 1, 2009",,For Profit,,,2,7,,,,,http://silverrailtech.com,,,
KAYAK,https://www.crunchbase.com/organization/kayak,"Community and Lifestyle, Internet Services, Travel and Tourism","Stamford, Connecticut, United States",Our mission at KAYAK is to provide the world‰Ûªs favorite travel planning tools.,"5,565","Leisure, Search Engine, Travel",101-250,2,6,M&A,"Aug 17, 2012","$6,000,000",Venture - Series Unknown,"$6,000,000",Venture - Series Unknown,"$229,000,000","$229,000,000",Public,"Jul 20, 2012",,"$91,000,000",,"Made Acquisitions, Was Acquired",Active,"Jan 14, 2004",,For Profit,,,2,11,,,,,http://www.kayak.com,,,
Appcelerator,https://www.crunchbase.com/organization/appcelerator,"Apps, Mobile, Software","Mountain View, California, United States","Appcelerator provides a mobile enterprise platform to deliver native apps, mobilize data, and measure success with real time analytics.","5,594","Apps, Enterprise Software, Mobile, Open Source, Real Time",51-100,2,10,M&A,"Aug 27, 2015","$5,700,000",Series E,"$5,700,000",Series E,"$93,600,000","$93,600,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,"Sep 1, 2006",,For Profit,,,9,13,,,,,http://appcelerator.com,,,
Space Ape,https://www.crunchbase.com/organization/space-ape,"Gaming, Mobile","London, England, United Kingdom",Space Ape is an award winning mobile gaming company. Our team is dedicated to creating the highest quality games for players worldwide.,"5,740","Gaming, Mobile, Video Games",51-100,2,5,M&A,"May 13, 2015","å£4,250,000",Debt Financing,"$3,050,000",Venture - Series Unknown,"$14,350,075","$21,040,459",Private,,,,,Was Acquired,Active,2012,,For Profit,,,2,6,,,,,http://spaceapegames.com,,,
SimpliVity,https://www.crunchbase.com/organization/simplivity,"Hardware, Information Technology, Internet Services, Software","Westborough, Massachusetts, United States","SimpliVity offers Omnicube‰ã¢, an IT infrastructure platform that provides enterprise computing, storage services, and network functionality.","5,782","Information Technology, IT Infrastructure, Virtualization, Web Hosting",501-1000,1,5,M&A,"Mar 19, 2015","$175,000,000",Series D,"$175,000,000",Series D,"$276,000,000","$276,500,000",Private,,,,,Was Acquired,Active,2009,,,,,5,8,,,,,https://www.simplivity.com/,,,
MoPub,https://www.crunchbase.com/organization/mopub,"Advertising, Apps, Content and Publishing, Media and Entertainment, Sales and Marketing, Software","San Francisco, California, United States",MoPub is a mobile monetization platform that helps publishers drive more revenue from advertising and mobile transactions.,"6,378","Apps, Mobile Advertising, Publishing",101-250,2,4,M&A,"Sep 20, 2012","$12,000,000",Series B,"$12,000,000",Series B,"$18,500,000","$18,500,000",Private,,,,,Was Acquired,Active,2010,,For Profit,,,3,6,,,,,http://www.mopub.com,,,
Borqs,https://www.crunchbase.com/organization/borqs,"Internet Services, Media and Entertainment, Mobile, Platforms, Software","Beijing, Beijing, China",Borqs International Holding Company is a high-tech company providing intelligent terminal software and end-to-end service platforms.,"6,432","Android, Developer Tools, Mobile, Social Media",501-1000,2,6,M&A,"Mar 13, 2017","$10,000,000",Series E,"$10,000,000",Series E,"$51,972,725","$51,972,725",Private,,,,,Was Acquired,Active,"Sep 1, 2007",,,,,4,8,,,,,http://www.borqs.com,,,
Baby.com.br,https://www.crunchbase.com/organization/baby-com-br,Commerce and Shopping,"Sao Paulo, Brazil, South America",Baby.com.br is an e-commerce retailer of baby products in Brazil.,"6,443","Baby, E-Commerce, Retail",501-1000,4,2,M&A,"Mar 1, 2012","$16,700,000",Series B,"$16,700,000",Series B,"$21,100,000","$21,100,000",Private,,,,,Was Acquired,Active,"Jun 1, 2010",,,,,2,11,,,,,http://www.baby.com.br,,,
IronPlanet,https://www.crunchbase.com/organization/ironplanet,"Agriculture and Farming, Commerce and Shopping, Real Estate, Transportation","Pleasanton, California, United States",IronPlanet is an online marketplace for used heavy equipments.,"6,468","Agriculture, Construction, Marketplace, Online Auctions, Transportation",251-500,2,8,M&A,"Aug 23, 2016","$17,968,672",Series E,"$17,968,672",Series E,"$92,703,847","$147,703,847",Private,,,,,"Made Acquisitions, Was Acquired",Active,1999,,For Profit,,,4,12,,,,,http://www.ironplanet.com,,,
StumbleUpon,https://www.crunchbase.com/organization/stumbleupon,"Internet Services, Media and Entertainment","San Francisco, California, United States",StumbleUpon is a discovery engine that finds and recommends personalized web content to its users.,"6,572","Content, Internet, Personalization",101-250,3,4,M&A,"Mar 9, 2011","$17,000,000",Series B,"$17,000,000",Series B,"$18,500,000","$18,500,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,2001,,For Profit,,,2,11,,,,,http://www.stumbleupon.com/,,,
Arcot Systems,https://www.crunchbase.com/organization/arcot-systems,"Apps, Mobile, Privacy and Security, Software","Sunnyvale, California, United States",Arcot Systems offers authentication and digital signing solutions to protect and verify the digital identity of card holders and merchants.,"6,875","Mobile Apps, SaaS, Security",51-100,,5,M&A,"Jun 18, 2008","$23,000,000",Series B,"$23,000,000",Series B,"$74,500,000","$74,500,000",Private,,,,,Was Acquired,Active,1997,,,,,4,13,,,,,http://www.arcot.com,,,
LetsBuy.com,https://www.crunchbase.com/organization/letsbuy-com,"Commerce and Shopping, Consumer Electronics, Hardware","Haryana, Haryana, India",Letsbuy.com is an online media company operating a retail website of electronics.,"7,017","Consumer Electronics, E-Commerce, Electronics",51-100,2,1,M&A,"Jan 18, 2011","$6,000,000",Series A,"$6,000,000",Series A,"$6,000,000","$6,000,000",Private,,,,,Was Acquired,Active,2009,,,,,,3,,,,,http://www.letsbuy.com,,,
HouseTrip,https://www.crunchbase.com/organization/house-trip,"Internet Services, Privacy and Security, Real Estate, Travel and Tourism","London, England, United Kingdom",HouseTrip is an online marketplace enabling individuals and holiday rental management companies to rent out their properties to guests.,"7,174","Internet, Privacy, Real Estate, Travel",51-100,2,3,M&A,"Oct 9, 2012","$40,000,000",Series C,"$40,000,000",Series C,"$59,700,000","$59,700,000",Private,,,,,Was Acquired,Active,2009,,,,,3,3,,,,,http://www.housetrip.com,,,
Neumob,https://www.crunchbase.com/organization/neumob,"Apps, Internet Services, Mobile, Software","Sunnyvale, California, United States","Neumob is the leader in reducing mobile app errors, speeding up app performance and boosting conversions.","7,603","Cloud Computing, Infrastructure, Mobile, Mobile Apps, Software",Nov-50,2,2,M&A,"Oct 1, 2015","$8,500,000",Series A,"$8,500,000",Series A,"$10,900,000","$10,900,000",Private,,,,,Was Acquired,Closed,2014,2017,For Profit,,,1,13,,,,,https://www.neumob.com,,,
Exclusively,https://www.crunchbase.com/organization/exclusively-in,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design","New York, New York, United States","Exclusively.In isåÊa members-only shopping site for Indian-inspired fashion, jewelry and home decor.","7,708","Fashion, Jewelry, Shopping",51-100,1,2,M&A,"May 29, 2011","$16,000,000",Series B,"$16,000,000",Series B,"$18,800,000","$18,800,000",Private,,,,,Was Acquired,Active,2010,,For Profit,,,3,4,,,,,http://exclusively.in,,,
TaxiForSure.com,https://www.crunchbase.com/organization/taxiforsure-com,Transportation,"Bangalore, Karnataka, India","TaxiForSure is an aggregator of car rentals and taxis for customers to get an easily accessible, safe, and reliable taxi ride.","7,820","Public Transportation, Taxi Service, Transportation",1001-5000,2,4,M&A,"Aug 20, 2014","$30,000,000",Series C,"$30,000,000",Series C,"$44,000,000","$44,000,000",Private,,,,,Was Acquired,Closed,"Jun 1, 2011",Aug-16,For Profit,,,2,4,1,,,1,http://www.taxiforsure.com,,,
URX,https://www.crunchbase.com/organization/urx,"Commerce and Shopping, Media and Entertainment, Mobile, Sales and Marketing","San Francisco, California, United States",URX drives mobile commerce through relevant product ads.,"8,476","App Marketing, Digital Media, E-Commerce, Mobile",Nov-50,4,4,M&A,"Apr 28, 2014","$12,000,000",Series A,"$12,000,000",Series A,"$15,100,000","$15,100,000",Private,,,,,Was Acquired,Active,"Feb 1, 2013",,For Profit,,,2,34,,,,,http://urx.com,,,
AdMob,https://www.crunchbase.com/organization/admob,"Advertising, Apps, Mobile, Sales and Marketing, Software","Mountain View, California, United States",AdMob is a mobile advertising network that helps app developers monetize and promote their mobile and tablet apps with ads.,"8,556","Ad Network, Advertising, Apps, Marketing, Mobile",,1,4,M&A,"Jan 29, 2009","$12,500,000",Series C,"$12,500,000",Series C,"$46,800,000","$46,800,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,"May 28, 2008",,For Profit,,,3,8,,,,,http://www.google.com/admob,,,
Aorato,https://www.crunchbase.com/organization/aorato,"Consumer Electronics, Hardware, Information Technology, Privacy and Security","Herzliya, Tel Aviv, Israel",Protection through Entity Behavior,"8,658","Computer, Network Security, Security",Nov-50,3,2,M&A,"Jan 21, 2014","$10,000,000",Series A,"$10,000,000",Series A,"$11,000,000","$11,000,000",Private,,,,,Was Acquired,Active,"Dec 1, 2012",,,,,1,5,,,,,http://www.aorato.com,,,
ClearGraph,https://www.crunchbase.com/organization/argo,"Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software","Palo Alto, California, United States",Semantic search solutions for enterprise,"8,666","Analytics, Artificial Intelligence, Enterprise Software, Knowledge Management, Machine Learning, Natural Language Processing, Semantic Search",Nov-50,2,2,M&A,"Mar 11, 2016","$1,500,000",Seed,"$1,500,000",Seed,"$3,025,000","$3,025,000",Private,,,,,Was Acquired,Active,"Apr 1, 2014",,For Profit,,,1,12,,,,,https://cleargraph.io,,,
Savi Technology,https://www.crunchbase.com/organization/savi-technology,"Data and Analytics, Hardware, Internet Services, Software, Transportation","Alexandria, Virginia, United States",Savi provides Sensor Analytics solutions for organizations that face critical decisions based on the location and status of their assets,"9,538","Analytics, Big Data, Internet of Things, Risk Management, SaaS, Sensor, Supply Chain Management",101-250,,4,M&A,"Nov 23, 2015","$15,006,088",Venture - Series Unknown,"$15,006,088",Venture - Series Unknown,"$82,506,088","$82,506,088",Private,,,,,Was Acquired,Active,1989,,For Profit,,,2,14,,,,,http://www.savi.com,,,
Nomi,https://www.crunchbase.com/organization/nomi,"Commerce and Shopping, Data and Analytics, Software","New York, New York, United States",Nomi is an omni-channel marketing platform that helps retailers better engage with their customers.,"9,598","Analytics, E-Commerce, Retail, Software",101-250,6,3,M&A,"Jan 8, 2016","$15,000,000",Debt Financing,"$10,000,000",Series A,"$13,000,000","$28,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,"Sep 1, 2012",,For Profit,,,3,13,,,,,http://www.getnomi.com,,,
migme,https://www.crunchbase.com/organization/mig-me,"Apps, Community and Lifestyle, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Platforms, Software","Singapore, Central Region, Singapore","Migme Limited offers migme, a fan-based social entertainment platform that offers chat, content, and microblogging services.","9,982","Android, Apps, Communities, Internet, Messaging, Mobile",51-100,2,10,IPO,"Sep 30, 2016",,Seed,,Seed,"$52,300,000","$52,300,000",Public,"Aug 11, 2014",,,,Made Acquisitions,Active,"Dec 1, 2005",,For Profit,,,7,12,,,,,http://mig.me/,,,
Mode Media,https://www.crunchbase.com/organization/glammedia,"Content and Publishing, Media and Entertainment, Video","Brisbane, California, United States",Mode is a consumer social platform for curated content discovery.,"10,269","Content Creators, Digital Media, Video Streaming",251-500,5,11,M&A,"May 21, 2015","$30,000,000",Series G,"$30,000,000",Series G,"$224,600,000","$244,600,000",Private,,,,,"Made Acquisitions, Was Acquired",Closed,"Sep 1, 2003","Sep 15, 2016",For Profit,,,3,13,,,,,http://www.corp.mode.com,,,
Nextbit Systems,https://www.crunchbase.com/organization/nextbit-systems,"Consumer Electronics, Hardware, Mobile, Software","San Francisco, California, United States",Nextbit Systems is a stealth-mode mobile technology startup.,"11,058","Consumer Electronics, Mobile, Software",Nov-50,2,3,M&A,"Oct 1, 2015","$1,362,343",Product Crowdfunding,,Venture - Series Unknown,"$18,000,000","$19,362,343",Private,,,,,Was Acquired,Active,2013,,For Profit,,,2,3,,,,,https://www.nextbit.com,,,
CapriCoast,https://www.crunchbase.com/organization/capricoast,Consumer Goods,"Bangalore, Karnataka, India",CapriCoast.com is set to revolutionize modular furniture buying in India.,"11,511",Furniture,Nov-50,1,2,M&A,"Dec 14, 2015","$3,500,000",Series A,"$3,500,000",Series A,"$4,750,000","$4,750,000",Private,,,,,Was Acquired,Closed,2015,"Dec 23, 2017",For Profit,,,2,3,,,,,http://www.capricoast.com/,,,
Kosmix,https://www.crunchbase.com/organization/kosmix,Internet Services,"Mountain View, California, United States",Kosmix is a search engine that allows users to perform advanced searches via multiple filters.,"11,555","Internet, Search Engine",101-250,2,5,M&A,"Oct 9, 2009","$237,600",Venture - Series Unknown,"$237,600",Venture - Series Unknown,"$55,237,600","$55,237,600",Private,,,,,"Made Acquisitions, Was Acquired",Active,2005,,,,,3,4,,,,,http://www.kosmix.com,,,
BranchOut,https://www.crunchbase.com/organization/branchout,"Apps, Mobile, Professional Services, Software","San Francisco, California, United States","BranchOut lets people capture and share everyday moments in the workplace through photos, news and updates.","12,014","Apps, Career Planning, Employment, Mobile",Nov-50,1,3,M&A,"Apr 19, 2012","$25,000,000",Series C,"$25,000,000",Series C,"$49,000,000","$49,000,000",Private,,,,,Was Acquired,Active,"Jul 1, 2010",,For Profit,,,3,20,,,,,https://branchout.com/,,,
YesGraph,https://www.crunchbase.com/organization/yesgraph,"Data and Analytics, Software","Palo Alto, California, United States",YesGraph can boost your company's growth with high-performance invite and referral flows.,"12,251","Analytics, Developer APIs, Enterprise Software",1-Oct,1,3,M&A,"Aug 24, 2016","$120,000",Seed,"$120,000",Seed,"$2,420,000","$2,420,000",Private,,,,,Was Acquired,Active,2012,,For Profit,,,,12,,,,,https://www.yesgraph.com,,,
Hassle.com,https://www.crunchbase.com/organization/hassle,"Commerce and Shopping, Information Technology, Sales and Marketing, Software","London, England, United Kingdom","Hassle.com is an online marketplace that matches busy people with local, trusted cleaners.","12,502","CRM, E-Commerce, Local, Small and Medium Businesses",51-100,3,5,M&A,"Mar 16, 2017","‰âÂ10,000,000",Venture - Series Unknown,"‰âÂ10,000,000",Venture - Series Unknown,"$17,586,791","$17,586,791",Private,,,,,Was Acquired,Active,"Nov 1, 2011",,For Profit,,,1,5,,,,,http://hassle.com,,,
Pontis,https://www.crunchbase.com/organization/pontis,"Hardware, Information Technology, Mobile","Ra'anana, HaMerkaz, Israel",Pontis provides Digital Customer Engagement solutions for revolutionizing how businesses engage with their customers.,"12,834","Information Technology, Mobile, Real Time, Telecommunications",501-1000,2,2,M&A,"Feb 10, 2009","$19,650,000",Series C,"$19,650,000",Series C,"$34,650,000","$34,650,000",Private,,,,,Was Acquired,Active,2004,,For Profit,,,2,4,,,,,http://www.pontis.com,,,
Riverbed Technology,https://www.crunchbase.com/organization/riverbed-technology,"Consumer Electronics, Hardware, Information Technology, Internet Services","San Francisco, California, United States",Riverbed Technology is a solution provider for fundamental problems associated with IT performance across wide area networks.,"13,005","Cloud Data Services, Computer, Data Center",5001-10000,1,6,M&A,"Jan 19, 2016",,Venture - Series Unknown,,Venture - Series Unknown,"$28,400,000","$28,400,000",Public,"Sep 21, 2006",,"$85,800,000","$631,446,085","Made Acquisitions, Was Acquired",Active,Aug-98,,For Profit,,,3,12,1,,,1,http://www.riverbed.com,,,
MobileSpaces,https://www.crunchbase.com/organization/mobilespaces,"Apps, Mobile, Privacy and Security, Software","Silver Spring, Maryland, United States",MobileSpaces provides security for mobile applications and supports businesses in protecting enterprise data.,"13,762","Enterprise Software, Mobile, Mobile Apps, SaaS, Security",Nov-50,2,2,M&A,"Jul 24, 2013","$8,600,000",Series B,"$8,600,000",Series B,"$11,600,000","$11,600,000",Private,,,,,Was Acquired,Active,2011,,,,,2,3,,,,,http://mobilespaces.com,,,
CardSpring,https://www.crunchbase.com/organization/cardspring,"Commerce and Shopping, Financial Services, Payments, Software","San Francisco, California, United States",CardspringåÊoffers an application platformåÊenabling app developers to write applications for credit cards and other types of payments.,"14,652","E-Commerce, Enterprise Software, Payments",Nov-50,4,3,M&A,"Jul 1, 2013","$9,825,000",Series A,"$9,825,000",Series A,"$19,825,000","$19,825,000",Private,,,,,Was Acquired,Active,2011,,,,,2,12,,,,,http://cardspring.com,,,
Zimbra,https://www.crunchbase.com/organization/zimbra,"Information Technology, Internet Services, Messaging and Telecommunications, Software","Palo Alto, California, United States","Zimbra offers open-source e-mail, address book, calendar, tasks, and collaboration software.","14,700","Collaboration, Email, Open Source, Software, Web Development",101-250,2,2,M&A,"Jul 9, 2014","$2,500,000",Venture - Series Unknown,"$2,500,000",Venture - Series Unknown,"$17,000,000","$17,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,2003,,,,,,6,,,,,http://zimbra.com,,,
Amobee,https://www.crunchbase.com/organization/amobee,"Advertising, Data and Analytics, Hardware, Media and Entertainment, Mobile, Sales and Marketing, Software, Video","Foster City, California, United States",Amobee is a global digital marketing technology company and a wholly owned subsidiary of Singtel.,"14,761","3D Technology, Advertising, Advertising Platforms, Big Data, Brand Marketing, Digital Media, Mobile, Social Media Marketing, Video",501-1000,3,6,M&A,"Mar 1, 2011","$18,000,000",Series D,"$18,000,000",Series D,"$72,000,000","$72,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,"May 1, 2005",,For Profit,,,3,9,,,,,http://www.amobee.com,,,
Coremetrics,https://www.crunchbase.com/organization/coremetrics,"Advertising, Data and Analytics, Sales and Marketing","San Mateo, California, United States",Coremetrics provides digital marketing optimization and web analytics solutions for online marketing investments.,"15,045","Advertising, Analytics, Digital Marketing",10001+,3,6,M&A,"Apr 4, 2008","$60,000,000",Series E,"$60,000,000",Series E,"$139,000,000","$153,000,000",Private,,,,,Was Acquired,Active,1999,,For Profit,,,3,10,,,,,http://www.coremetrics.com,,,
MetraTech,https://www.crunchbase.com/organization/metratech,"Financial Services, Internet Services, Payments, Software","Waltham, Massachusetts, United States","MetraTech operates Metanga, a software cloud developing agreements-based billing, commerce and compensation solutions.","16,219","Cloud Computing, Payments, Software",51-100,1,5,M&A,"Sep 16, 2012","$30,000,000",Venture - Series Unknown,"$30,000,000",Venture - Series Unknown,"$66,600,000","$66,600,000",Private,,,,,Was Acquired,Active,1998,,,,,,6,,,,,http://www.metratech.com,,,
Ingenuity Systems,https://www.crunchbase.com/organization/ingenuity-systems,"Biotechnology, Health Care, Science and Engineering","Redwood City, California, United States","Ingenuity Systems is a software platform for life science researchers to explore, interpret and analyze complex biological systems.","16,389","Biotechnology, Life Science, Pharmaceutical",51-100,1,1,M&A,"Jul 1, 2010","$15,400,000",Venture - Series Unknown,"$15,400,000",Venture - Series Unknown,"$15,400,000","$15,400,000",Private,,,,,Was Acquired,Active,1998,,,,,,4,,,,,http://www.ingenuity.com,,,
Rockmelt,https://www.crunchbase.com/organization/rockmelt,"Apps, Internet Services, Media and Entertainment, Software","Mountain View, California, United States",Rockmelt is a social browser-turned social news application.,"16,452","Apps, Browser Extensions, Social Media",Nov-50,2,3,M&A,"Jun 29, 2011","$30,000,000",Series B,"$30,000,000",Series B,"$39,875,000","$39,875,000",Private,,,,,Was Acquired,Active,2009,,,,,2,11,,,,,http://www.rockmelt.com,,,
Sookasa,https://www.crunchbase.com/organization/sookasa,"Information Technology, Privacy and Security, Software","San Mateo, California, United States",Sookasa provides encryption and compliance for sensitive files across cloud storage services and mobile devices.,"16,624","Cloud Security, Cyber Security, Enterprise Software",Nov-50,4,2,M&A,"Apr 1, 2014","$5,000,000",Series A,"$5,000,000",Series A,"$6,600,000","$6,600,000",Private,,,,,Was Acquired,Active,2012,,For Profit,,,1,7,,,,,http://www.sookasa.com,,,
Shopmium,https://www.crunchbase.com/organization/shopmium,"Commerce and Shopping, Sales and Marketing","Paris, Ile-de-France, France","Shopmium is a mobile shopping service that includes couponing and promotion, allowing brands to send targeted coupons to mobile users.","17,408","Coupons, E-Commerce, Marketing",Nov-50,3,2,M&A,"Jun 3, 2013","$5,600,000",Venture - Series Unknown,"$5,600,000",Venture - Series Unknown,"$7,700,000","$7,700,000",Private,,,,,Was Acquired,Active,2010,,,,,3,4,,,,,http://shopmium.com,,,
collegefeed,https://www.crunchbase.com/organization/collegefeed,"Education, Information Technology, Privacy and Security, Professional Services","Mountain View, California, United States",collegefeed is an early career marketplace that helps college students and graduates find career opportunities.,"17,481","Career Planning, Education, Identity Management",1-Oct,2,1,M&A,"Aug 20, 2013","$1,800,000",Venture - Series Unknown,"$1,800,000",Venture - Series Unknown,"$1,800,000","$1,800,000",Private,,,,,Was Acquired,Active,2013,,,,,1,6,,,,,http://www.collegefeed.com,,,
Icera,https://www.crunchbase.com/organization/icera,"Hardware, Mobile, Science and Engineering","Bristol, Bristol, City of, United Kingdom",Icera develops a high performance soft modem technology for mobile broadband phones and data devices.,"17,487","Mobile, Semiconductor, Telecommunications",251-500,1,9,M&A,"Jun 3, 2011","$5,000,000",Debt Financing,"$45,000,000",Private Equity,"$217,500,000","$244,500,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,"Apr 1, 2002",,,,,3,11,,,,,http://www.icerasemi.com,,,
StreamBase Systems,https://www.crunchbase.com/organization/streambase-systems,"Data and Analytics, Software","Lexington, Massachusetts, United States",StreamBase is an event processing platform that analyzes real-time streaming data for decision-making purposes.,"17,780","Analytics, Enterprise Software, Real Time",101-250,1,7,M&A,"May 18, 2012","$1,500,000",Debt Financing,"$6,000,000",Series D,"$37,000,000","$44,000,000",Private,,,,,Was Acquired,Active,2003,,For Profit,,,4,5,,,,,http://www.streambase.com,,,
OnForce,https://www.crunchbase.com/organization/onforce,"Information Technology, Software","Lexington, Massachusetts, United States","OnForce‰Ûªs Freelancer Management System is a cloud-based SaaS allowing businesses to engage, manage & pay their independent workforce.","17,870","Enterprise Software, Information Technology, Professional Services",101-250,2,3,M&A,"Nov 3, 2011","$5,000,000",Venture - Series Unknown,"$5,000,000",Venture - Series Unknown,"$26,750,000","$26,750,000",Private,,,,,Was Acquired,Active,"Feb 1, 2003",,,,,3,3,,,,,http://www.onforce.com,,,
