Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Number of Investors,Number of Partner Investors,Equity Only Funding
Series B - DJI,https://www.crunchbase.com/funding_round/dji-series-b--a359e9f4,DJI,https://www.crunchbase.com/organization/dji,Series B,"$75,000,000","May 5, 2015",Early Stage Venture,"$7,925,000,000",1,1,Yes
Series G - Flipkart,https://www.crunchbase.com/funding_round/flipkart-series-g--af6ac1c9,Flipkart,https://www.crunchbase.com/organization/flipkart,Series G,"$1,000,000,000","Jul 29, 2014",Late Stage Venture,"$6,000,000,000",8,3,Yes
Series G - Slack,https://www.crunchbase.com/funding_round/slack-series-g--0e40e9bd,Slack,https://www.crunchbase.com/organization/slack,Series G,"$250,000,000","Sep 17, 2017",Late Stage Venture,"$4,850,000,000",3,1,Yes
Series B - Dropbox,https://www.crunchbase.com/funding_round/dropbox-series-b--ec004374,Dropbox,https://www.crunchbase.com/organization/dropbox,Series B,"$250,000,000","Oct 18, 2011",Early Stage Venture,"$3,750,000,000",14,7,Yes
Series F - Slack,https://www.crunchbase.com/funding_round/slack-series-f--c196894f,Slack,https://www.crunchbase.com/organization/slack,Series F,"$200,000,000","Apr 1, 2016",Late Stage Venture,"$3,600,000,000",7,4,Yes
Series E - Spotify,https://www.crunchbase.com/funding_round/spotify-series-e--a478991d,Spotify,https://www.crunchbase.com/organization/spotify,Series E,"$100,000,000","Nov 15, 2012",Late Stage Venture,"$2,900,000,000",6,3,Yes
Series E - Slack,https://www.crunchbase.com/funding_round/slack-series-e--049a00a0,Slack,https://www.crunchbase.com/organization/slack,Series E,"$160,000,000","Apr 16, 2015",Late Stage Venture,"$2,640,000,000",12,13,Yes
Series C - Qualtrics,https://www.crunchbase.com/funding_round/qualtrics-series-c--dc3c0897,Qualtrics,https://www.crunchbase.com/organization/qualtrics,Series C,"$180,000,000","Apr 12, 2017",Late Stage Venture,"$2,320,000,000",3,3,Yes
Series E - Ola,https://www.crunchbase.com/funding_round/ani-technologies-series-e--bbce7c1d,Ola,https://www.crunchbase.com/organization/ani-technologies,Series E,"$400,000,000","Apr 15, 2015",Late Stage Venture,"$2,100,000,000",9,2,Yes
Series F - Deliveroo,https://www.crunchbase.com/funding_round/deliveroo-series-f--5096a916,Deliveroo,https://www.crunchbase.com/organization/deliveroo,Series F,"$385,000,000","Sep 24, 2017",Late Stage Venture,"$1,615,000,000",6,4,Yes
Series E - DocuSign,https://www.crunchbase.com/funding_round/docusign-series-e--f25dbe19,DocuSign,https://www.crunchbase.com/organization/docusign,Series E,"$85,000,000","Mar 4, 2014",Late Stage Venture,"$1,515,000,000",14,8,Yes
Series D - BlaBlaCar,https://www.crunchbase.com/funding_round/blablacar-series-d--1387f0ad,BlaBlaCar,https://www.crunchbase.com/organization/blablacar,Series D,"$200,000,000","Sep 17, 2015",Late Stage Venture,"$1,400,000,000",5,4,Yes
Series E - Flipkart,https://www.crunchbase.com/funding_round/flipkart-series-e--299d4ccf,Flipkart,https://www.crunchbase.com/organization/flipkart,Series E,"$200,000,000","Jul 10, 2013",Late Stage Venture,"$1,300,000,000",4,3,Yes
Series C - Groupon,https://www.crunchbase.com/funding_round/groupon-series-c--7205cb6e,Groupon,https://www.crunchbase.com/organization/groupon,Series C,"$135,000,000","Apr 18, 2010",Late Stage Venture,"$1,165,000,000",5,6,Yes
Series E - Sunrun,https://www.crunchbase.com/funding_round/sunrun-series-e--803a25c4,Sunrun,https://www.crunchbase.com/organization/sunrun,Series E,"$150,000,000","May 15, 2014",Late Stage Venture,"$1,150,000,000",4,4,Yes
Series D - Illumio,https://www.crunchbase.com/funding_round/illumio-series-d--36e1dc28,Illumio,https://www.crunchbase.com/organization/illumio,Series D,"$125,000,000","Jun 7, 2017",Late Stage Venture,"$1,000,000,000",8,3,Yes
Series D - Slack,https://www.crunchbase.com/funding_round/slack-series-d--9a3339ee,Slack,https://www.crunchbase.com/organization/slack,Series D,"$120,000,000","Oct 31, 2014",Late Stage Venture,"$920,000,000",6,9,Yes
Series E - InVision,https://www.crunchbase.com/funding_round/invision-2-series-e--9bca5382,InVision,https://www.crunchbase.com/organization/invision-2,Series E,"$100,000,000","Nov 1, 2017",Late Stage Venture,"$900,000,000",7,1,Yes
Series D - CrowdStrike,https://www.crunchbase.com/funding_round/crowdstrike-series-d--2b770b3a,CrowdStrike,https://www.crunchbase.com/organization/crowdstrike,Series D,"$100,000,000","May 17, 2017",Late Stage Venture,"$900,000,000",6,2,Yes
Series D - Spotify,https://www.crunchbase.com/funding_round/spotify-series-d--bb676d6c,Spotify,https://www.crunchbase.com/organization/spotify,Series D,"$100,000,000","Jun 17, 2011",Late Stage Venture,"$900,000,000",5,4,Yes
Series C - Illumio,https://www.crunchbase.com/funding_round/illumio-series-c--3e0e99dc,Illumio,https://www.crunchbase.com/organization/illumio,Series C,"$100,000,000","Apr 14, 2015",Late Stage Venture,"$900,000,000",12,3,Yes
Series F - Lookout,https://www.crunchbase.com/funding_round/lookout-series-f--329ac117,Lookout,https://www.crunchbase.com/organization/lookout,Series F,"$150,000,000","Aug 13, 2014",Late Stage Venture,"$850,000,000",10,4,Yes
Series D - SimpliVity,https://www.crunchbase.com/funding_round/simplivity-series-d--59a0ddeb,SimpliVity,https://www.crunchbase.com/organization/simplivity,Series D,"$175,000,000","Mar 19, 2015",Late Stage Venture,"$850,000,000",6,8,Yes
Series B - Qualtrics,https://www.crunchbase.com/funding_round/qualtrics-series-b--05e58a54,Qualtrics,https://www.crunchbase.com/organization/qualtrics,Series B,"$150,000,000","Sep 24, 2014",Early Stage Venture,"$850,000,000",3,3,Yes
Series D - Flipkart,https://www.crunchbase.com/funding_round/flipkart-series-d--b9aa2b04,Flipkart,https://www.crunchbase.com/organization/flipkart,Series D,"$150,000,000","Aug 24, 2012",Late Stage Venture,"$850,000,000",4,3,Yes
Series B - lynda.com,https://www.crunchbase.com/funding_round/lynda-com-series-b--2b985951,lynda.com,https://www.crunchbase.com/organization/lynda-com,Series B,"$186,000,000","Jan 14, 2015",Early Stage Venture,"$814,000,000",3,4,Yes
Series E - Cloudera,https://www.crunchbase.com/funding_round/cloudera-series-e--e9405fe5,Cloudera,https://www.crunchbase.com/organization/cloudera,Series E,"$65,000,000","Dec 7, 2012",Late Stage Venture,"$700,000,000",5,6,Yes
Series F - Freshworks,https://www.crunchbase.com/funding_round/freshdesk-series-f--fcdf2e8b,Freshworks,https://www.crunchbase.com/organization/freshdesk,Series F,"$55,000,000","Nov 1, 2016",Late Stage Venture,"$645,000,000",3,2,Yes
Series C - WorldRemit,https://www.crunchbase.com/funding_round/worldremit-series-c--645bcde3,WorldRemit,https://www.crunchbase.com/organization/worldremit,Series C,"$40,000,000","Dec 7, 2017",Late Stage Venture,"$628,000,000",3,2,Yes
Series D - KAYAK,https://www.crunchbase.com/funding_round/kayak-series-d--a69a7313,KAYAK,https://www.crunchbase.com/organization/kayak,Series D,"$196,000,000","Dec 1, 2007",Late Stage Venture,"$600,000,000",9,4,Yes
Series B - Raise Marketplace,https://www.crunchbase.com/funding_round/raise-marketplace-series-b--6afa9cc3,Raise Marketplace,https://www.crunchbase.com/organization/raise-marketplace,Series B,"$62,000,000","Jan 22, 2015",Early Stage Venture,"$553,000,000",5,3,Yes
Series B - Hootsuite,https://www.crunchbase.com/funding_round/hootsuite-series-b--6dee1840,Hootsuite,https://www.crunchbase.com/organization/hootsuite,Series B,"$165,000,000","Aug 1, 2013",Early Stage Venture,"$500,000,000",3,3,Yes
Series B - Birchbox,https://www.crunchbase.com/funding_round/birchbox-series-b--ad80e4bf,Birchbox,https://www.crunchbase.com/organization/birchbox,Series B,"$60,000,000","Apr 21, 2014",Early Stage Venture,"$485,000,000",11,4,Yes
Series B - Facebook,https://www.crunchbase.com/funding_round/facebook-series-b--6fae3958,Facebook,https://www.crunchbase.com/organization/facebook,Series B,"$27,500,000","Apr 1, 2006",Early Stage Venture,"$475,000,000",5,6,Yes
Series E - HotelTonight,https://www.crunchbase.com/funding_round/hoteltonight-series-e--74a29a36,HotelTonight,https://www.crunchbase.com/organization/hoteltonight,Series E,"$37,000,000","Mar 22, 2017",Late Stage Venture,"$463,000,000",9,7,Yes
Series B - Jet,https://www.crunchbase.com/funding_round/jet-series-b--b43c959c,Jet,https://www.crunchbase.com/organization/jet,Series B,"$140,000,000","Feb 11, 2015",Early Stage Venture,"$460,000,000",16,4,Yes
Series E - Freshworks,https://www.crunchbase.com/funding_round/freshdesk-series-e--2b58ca7f,Freshworks,https://www.crunchbase.com/organization/freshdesk,Series E,"$50,000,000","Apr 20, 2015",Late Stage Venture,"$450,000,000",3,2,Yes
Series B - WorldRemit,https://www.crunchbase.com/funding_round/worldremit-series-b--716a089f,WorldRemit,https://www.crunchbase.com/organization/worldremit,Series B,"$100,000,000","Feb 17, 2015",Early Stage Venture,"$400,000,000",2,2,Yes
Series C - BookMyShow,https://www.crunchbase.com/funding_round/bookmyshow-series-c--7242925d,BookMyShow,https://www.crunchbase.com/organization/bookmyshow,Series C,"$81,500,000","Jul 5, 2016",Late Stage Venture,"$363,178,445",4,2,Yes
Series A - BrowserStack,https://www.crunchbase.com/funding_round/browserstack-series-a--e6681c3f,BrowserStack,https://www.crunchbase.com/organization/browserstack,Series A,"$50,000,000","Jan 30, 2018",Early Stage Venture,"$350,000,000",1,1,Yes
Series E - Swiggy,https://www.crunchbase.com/funding_round/swiggy-series-e--438cb570,Swiggy,https://www.crunchbase.com/organization/swiggy,Series E,"$80,000,000","May 30, 2017",Late Stage Venture,"$320,000,000",6,1,Yes
Series B - Checkr,https://www.crunchbase.com/funding_round/checkr-series-b--7f4529b2,Checkr,https://www.crunchbase.com/organization/checkr,Series B,"$40,000,000","Mar 23, 2016",Early Stage Venture,"$250,000,000",8,3,Yes
Series D - Trifacta,https://www.crunchbase.com/funding_round/trifacta-series-d--74669037,Trifacta,https://www.crunchbase.com/organization/trifacta,Series D,"$48,000,000","Jan 31, 2018",Late Stage Venture,"$214,000,000",10,1,Yes
Series C - Circle,https://www.crunchbase.com/funding_round/circle-2-series-c--9466d838,Circle,https://www.crunchbase.com/organization/circle-2,Series C,"$50,000,000","Apr 30, 2015",Late Stage Venture,"$200,000,000",9,6,Yes
Series C - Brightcove,https://www.crunchbase.com/funding_round/brightcove-series-c--9bfe4ab2,Brightcove,https://www.crunchbase.com/organization/brightcove,Series C,"$59,500,000","Jan 17, 2007",Late Stage Venture,"$200,000,000",10,4,Yes
Series C - GOAT,https://www.crunchbase.com/funding_round/goatapp-series-c--0c04c2a6,GOAT,https://www.crunchbase.com/organization/goatapp,Series C,"$60,000,000","Feb 8, 2018",Late Stage Venture,"$190,000,000",4,1,Yes
Series C - SeatGeek,https://www.crunchbase.com/funding_round/seatgeek-series-c--e976c016,SeatGeek,https://www.crunchbase.com/organization/seatgeek,Series C,"$62,000,000","Apr 2, 2015",Late Stage Venture,"$140,000,000",10,4,Yes
Series C - Swiggy,https://www.crunchbase.com/funding_round/swiggy-series-c--7259d808,Swiggy,https://www.crunchbase.com/organization/swiggy,Series C,"$7,000,000","May 10, 2016",Late Stage Venture,"$123,000,000",3,1,Yes
Series B - MetraTech,https://www.crunchbase.com/funding_round/metratech-series-b--17f375dd,MetraTech,https://www.crunchbase.com/organization/metratech,Series B,"$23,000,000","Apr 11, 2000",Early Stage Venture,"$107,000,000",6,1,Yes
Series D - Peribit Networks,https://www.crunchbase.com/funding_round/peribit-networks-series-d--f75cbe0c,Peribit Networks,https://www.crunchbase.com/organization/peribit-networks,Series D,"$10,040,000","Oct 20, 2003",Late Stage Venture,"$89,960,000",4,,Yes
Series A - Facebook,https://www.crunchbase.com/funding_round/facebook-series-a--d950d7a5,Facebook,https://www.crunchbase.com/organization/facebook,Series A,"$12,700,000","May 1, 2005",Early Stage Venture,"$85,300,000",5,4,Yes
Series C - Topspin Communications,https://www.crunchbase.com/funding_round/topspin-communications-series-c--e8273203,Topspin Communications,https://www.crunchbase.com/organization/topspin-communications,Series C,"$20,000,000","Nov 10, 2003",Late Stage Venture,"$80,000,000",4,1,Yes
Series E - Etsy,https://www.crunchbase.com/funding_round/etsy-series-e--2ff7ec69,Etsy,https://www.crunchbase.com/organization/etsy,Series E,"$20,000,000","Aug 26, 2010",Late Stage Venture,"$80,000,000",4,3,Yes
Series C - ECi Software Solutions,https://www.crunchbase.com/funding_round/eci-software-solutions-series-c--35264dc1,ECi Software Solutions,https://www.crunchbase.com/organization/eci-software-solutions,Series C,"$21,000,000","Jan 2, 2002",Late Stage Venture,"$75,000,000",3,1,Yes
Series E - Responsys,https://www.crunchbase.com/funding_round/responsys-series-e--2a421bf1,Responsys,https://www.crunchbase.com/organization/responsys,Series E,"$9,400,000","Apr 2, 2003",Late Stage Venture,"$53,330,000",6,3,Yes
Series A - Supercell,https://www.crunchbase.com/funding_round/supercell-series-a--ec5d965d,Supercell,https://www.crunchbase.com/organization/supercell,Series A,"$12,000,000","May 25, 2011",Early Stage Venture,"$52,300,000",6,4,Yes
Series C - Peribit Networks,https://www.crunchbase.com/funding_round/peribit-networks-series-c--f11caa90,Peribit Networks,https://www.crunchbase.com/organization/peribit-networks,Series C,"$20,500,000","Mar 12, 2002",Late Stage Venture,"$50,040,000",3,,Yes
Series A - ZopNow,https://www.crunchbase.com/funding_round/zopnow-series-a--a0fa8c6c,ZopNow,https://www.crunchbase.com/organization/zopnow,Series A,"$10,000,000","Apr 13, 2015",Early Stage Venture,"$50,000,000",4,,Yes
Series A - Sentry,https://www.crunchbase.com/funding_round/sentry-series-a--fce6ec15,Sentry,https://www.crunchbase.com/organization/sentry,Series A,"$9,000,000","Jun 23, 2016",Early Stage Venture,"$31,000,000",3,1,Yes
Series B - Collectabillia.com,https://www.crunchbase.com/funding_round/collectabillia-com-series-b--8c84532a,Collectabillia.com,https://www.crunchbase.com/organization/collectabillia-com,Series B,"₹460,000,000","Jul 7, 2015",Early Stage Venture,"₹1,890,000,000",1,,Yes
Series E - US Pathology Labs,https://www.crunchbase.com/funding_round/us-pathology-labs-series-e--9c3405d3,US Pathology Labs,https://www.crunchbase.com/organization/us-pathology-labs,Series E,"$13,000,000","Jan 1, 2002",Late Stage Venture,"$24,000,000",5,,Yes
Series B - TravelBank,https://www.crunchbase.com/funding_round/travelbank-series-b--47d85978,TravelBank,https://www.crunchbase.com/organization/travelbank,Series B,"$25,000,000","Aug 30, 2017",Early Stage Venture,"$10,000,000",6,2,Yes
Series B - Axio Biosolutions Private Limited,https://www.crunchbase.com/funding_round/axio-biosolutions-private-limited-series-b--f07743c5,Axio Biosolutions Private Limited,https://www.crunchbase.com/organization/axio-biosolutions-private-limited,Series B,"$7,400,000","Jan 26, 2018",Early Stage Venture,,3,2,Yes
Series B - Teabox,https://www.crunchbase.com/funding_round/teabox-series-b--b9e51f50,Teabox,https://www.crunchbase.com/organization/teabox,Series B,"$7,000,000","Dec 14, 2017",Early Stage Venture,,4,1,Yes
Series A - CareStack ( Good Methods Global Inc ),https://www.crunchbase.com/funding_round/good-methods-global-series-a--31ed8468,CareStack ( Good Methods Global Inc ),https://www.crunchbase.com/organization/good-methods-global,Series A,"$7,553,116","May 12, 2017",Early Stage Venture,,1,,Yes
Series A - ZenHotels,https://www.crunchbase.com/funding_round/zenhotels-series-a--6d619e7a,ZenHotels,https://www.crunchbase.com/organization/zenhotels,Series A,"$13,600,000","May 1, 2011",Early Stage Venture,,15,1,Yes
Series A - MessageBird,https://www.crunchbase.com/funding_round/messagebird-series-a--5eb75e10,MessageBird,https://www.crunchbase.com/organization/messagebird,Series A,"$60,000,000","Oct 3, 2017",Early Stage Venture,,3,,Yes
Series B - SocialNet.com,https://www.crunchbase.com/funding_round/socialnet-com-series-b--210ca68c,SocialNet.com,https://www.crunchbase.com/organization/socialnet-com,Series B,"$17,000,000","Jan 11, 2000",Early Stage Venture,,7,,Yes
Series A - Framer,https://www.crunchbase.com/funding_round/framer-series-a--07c18dad,Framer,https://www.crunchbase.com/organization/framer,Series A,"$7,700,000","Nov 7, 2017",Early Stage Venture,,4,1,Yes
Series C - Deserve,https://www.crunchbase.com/funding_round/selfscore-series-c--4197f459,Deserve,https://www.crunchbase.com/organization/selfscore,Series C,"$12,000,000","Oct 24, 2017",Late Stage Venture,,6,1,Yes
Series A - Anchor,https://www.crunchbase.com/funding_round/anchor-fm-series-a--aaec0d51,Anchor,https://www.crunchbase.com/organization/anchor-fm,Series A,"$10,000,000","Sep 28, 2017",Early Stage Venture,,8,4,Yes
Seed Round - Radar,https://www.crunchbase.com/funding_round/radar-3-seed--dd985dbc,Radar,https://www.crunchbase.com/organization/radar-3,Seed,"$2,000,000","Oct 4, 2017",Seed,,9,,Yes
Series B - MindTickle,https://www.crunchbase.com/funding_round/mindtickle-series-b--bfb67743,MindTickle,https://www.crunchbase.com/organization/mindtickle,Series B,"$27,000,000","Dec 12, 2017",Early Stage Venture,,4,1,Yes
Series C - Portea Medical,https://www.crunchbase.com/funding_round/portea-medical-series-c--d69b25e1,Portea Medical,https://www.crunchbase.com/organization/portea-medical,Series C,"$26,000,000","Nov 21, 2017",Late Stage Venture,,5,,Yes
Series B - Simility,https://www.crunchbase.com/funding_round/simility-series-b--f10956ce,Simility,https://www.crunchbase.com/organization/simility,Series B,"$17,500,000","Dec 12, 2017",Early Stage Venture,,4,,Yes
Series C - homelane,https://www.crunchbase.com/funding_round/homelane-series-c--c101969b,homelane,https://www.crunchbase.com/organization/homelane,Series C,"$10,000,000","Dec 14, 2017",Late Stage Venture,,3,2,Yes
Series A - Spoke,https://www.crunchbase.com/funding_round/spoke-6-series-a--9cb71c1a,Spoke,https://www.crunchbase.com/organization/spoke-6,Series A,"$8,000,000","Oct 19, 2017",Early Stage Venture,,5,2,Yes
Seed Round - Rupeek,https://www.crunchbase.com/funding_round/rupeek-seed--778d0711,Rupeek,https://www.crunchbase.com/organization/rupeek,Seed,"$68,300,000","Feb 10, 2018",Seed,,2,,Yes
Series B - Instana,https://www.crunchbase.com/funding_round/instana-series-b--90d271d6,Instana,https://www.crunchbase.com/organization/instana,Series B,"$20,000,000","Dec 14, 2017",Early Stage Venture,,2,1,Yes
Series B - Shift Technology,https://www.crunchbase.com/funding_round/shift-technology-series-b--f2be28b3,Shift Technology,https://www.crunchbase.com/organization/shift-technology,Series B,"$28,000,000","Oct 23, 2017",Early Stage Venture,,4,1,Yes
Series A - Ironclad,https://www.crunchbase.com/funding_round/ironclad-series-a--6cbf5463,Ironclad,https://www.crunchbase.com/organization/ironclad,Series A,"$8,000,000","Aug 2, 2017",Early Stage Venture,,5,1,Yes
Series B - Spoke,https://www.crunchbase.com/funding_round/spoke-6-series-b--db33771d,Spoke,https://www.crunchbase.com/organization/spoke-6,Series B,"$20,000,000","Oct 19, 2017",Early Stage Venture,,4,3,Yes
Series A - Corelight,https://www.crunchbase.com/funding_round/corelight-series-a--6f2ae3b9,Corelight,https://www.crunchbase.com/organization/corelight,Series A,"$9,200,000","Jul 18, 2017",Early Stage Venture,,3,1,Yes
Series B - Frame.io,https://www.crunchbase.com/funding_round/frame-io-series-b--e03038cd,Frame.io,https://www.crunchbase.com/organization/frame-io,Series B,"$20,000,000","Oct 2, 2017",Early Stage Venture,,4,1,Yes
Series A - Transit,https://www.crunchbase.com/funding_round/transit-series-a--37f2c7c2,Transit,https://www.crunchbase.com/organization/transit,Series A,"$5,000,000","Sep 26, 2017",Early Stage Venture,,4,1,Yes
Series C - Raise Marketplace,https://www.crunchbase.com/funding_round/raise-marketplace-series-c--717f31bd,Raise Marketplace,https://www.crunchbase.com/organization/raise-marketplace,Series C,"$60,000,000","Sep 19, 2017",Late Stage Venture,,4,,Yes
Series D - GoCardless,https://www.crunchbase.com/funding_round/gocardless-series-d--f7516e6c,GoCardless,https://www.crunchbase.com/organization/gocardless,Series D,"$22,500,000","Sep 19, 2017",Late Stage Venture,,4,1,Yes
Series B - Algolia,https://www.crunchbase.com/funding_round/algolia-series-b--0dd39d21,Algolia,https://www.crunchbase.com/organization/algolia,Series B,"$53,000,000","Jun 7, 2017",Early Stage Venture,,8,2,Yes
Series A - Smash.gg,https://www.crunchbase.com/funding_round/smash-gg-series-a--98af1964,Smash.gg,https://www.crunchbase.com/organization/smash-gg,Series A,"$11,000,000","Aug 2, 2017",Early Stage Venture,,5,2,Yes
Series B - ZenHotels,https://www.crunchbase.com/funding_round/zenhotels-series-b--c74b705e,ZenHotels,https://www.crunchbase.com/organization/zenhotels,Series B,"$25,000,000","Mar 26, 2013",Early Stage Venture,,5,5,Yes
Series B - Zinka Logistics,https://www.crunchbase.com/funding_round/zinka-logistics-series-b--ef9d2352,Zinka Logistics,https://www.crunchbase.com/organization/zinka-logistics,Series B,"$25,000,000","Dec 11, 2015",Early Stage Venture,,4,1,Yes
Series C - Zinka Logistics,https://www.crunchbase.com/funding_round/zinka-logistics-series-c--940b575f,Zinka Logistics,https://www.crunchbase.com/organization/zinka-logistics,Series C,"$70,000,000","Mar 21, 2017",Late Stage Venture,,4,1,Yes
Series F - Sumo Logic,https://www.crunchbase.com/funding_round/sumo-logic-series-f--85e39e3f,Sumo Logic,https://www.crunchbase.com/organization/sumo-logic,Series F,"$75,000,000","Jun 27, 2017",Late Stage Venture,,7,7,Yes
Series C - M.Gemi,https://www.crunchbase.com/funding_round/m-gemi-series-c--d213424a,M.Gemi,https://www.crunchbase.com/organization/m-gemi,Series C,"$16,000,000","Jun 20, 2017",Late Stage Venture,,6,3,Yes
Seed Round - Acko General Insurance,https://www.crunchbase.com/funding_round/acko-general-insurance-seed--8b4bba62,Acko General Insurance,https://www.crunchbase.com/organization/acko-general-insurance,Seed,"$30,000,000","May 23, 2017",Seed,,8,,Yes
Series A - Scale,https://www.crunchbase.com/funding_round/scale-2-series-a--94857ec1,Scale,https://www.crunchbase.com/organization/scale-2,Series A,"$4,500,000","May 23, 2017",Early Stage Venture,,8,,Yes
Series B - Heptio,https://www.crunchbase.com/funding_round/heptio-series-b--fc397a3b,Heptio,https://www.crunchbase.com/organization/heptio,Series B,"$25,000,000","Sep 13, 2017",Early Stage Venture,,3,1,Yes
Series B - RentoMojo,https://www.crunchbase.com/funding_round/rentomojo-series-b--76f1907b,RentoMojo,https://www.crunchbase.com/organization/rentomojo,Series B,"$10,000,000","Jul 19, 2017",Early Stage Venture,,4,2,Yes
Series A - KRY,https://www.crunchbase.com/funding_round/kry-series-a--ed16bec1,KRY,https://www.crunchbase.com/organization/kry,Series A,"€20,000,000","Jun 28, 2017",Early Stage Venture,,4,1,Yes
Series D - ForgeRock,https://www.crunchbase.com/funding_round/forgerock-series-d--6d6ee229,ForgeRock,https://www.crunchbase.com/organization/forgerock,Series D,"$88,000,000","Sep 5, 2017",Late Stage Venture,,4,3,Yes
Series B - CureFit,https://www.crunchbase.com/funding_round/curefit-series-b--8b3a782b,CureFit,https://www.crunchbase.com/organization/curefit,Series B,"$25,000,000","Aug 28, 2017",Early Stage Venture,,4,,Yes
Seed Round - Stanza Living,https://www.crunchbase.com/funding_round/stanza-living-seed--dcd375b3,Stanza Living,https://www.crunchbase.com/organization/stanza-living,Seed,"₹130,000,000","Nov 28, 2017",Seed,,2,,Yes
Series B - G2 Crowd,https://www.crunchbase.com/funding_round/g2-crowd-series-b--2c2b7bd1,G2 Crowd,https://www.crunchbase.com/organization/g2-crowd,Series B,"$30,000,000","May 23, 2017",Early Stage Venture,,8,1,Yes
Series A - Atomist,https://www.crunchbase.com/funding_round/atomist-series-a--4ccb66d8,Atomist,https://www.crunchbase.com/organization/atomist,Series A,"$22,000,000","Nov 15, 2017",Early Stage Venture,,2,,Yes
Series B - Primary Data,https://www.crunchbase.com/funding_round/primary-data-series-b--063a54f1,Primary Data,https://www.crunchbase.com/organization/primary-data,Series B,"$20,000,000","Aug 2, 2017",Early Stage Venture,,4,3,Yes
Series A - Sense Talent Labs,https://www.crunchbase.com/funding_round/sense-talent-labs-series-a--c722990c,Sense Talent Labs,https://www.crunchbase.com/organization/sense-talent-labs,Series A,"$10,000,000","Jun 21, 2017",Early Stage Venture,,5,,Yes
Series E - Netskope,https://www.crunchbase.com/funding_round/netskope-series-e--af371727,Netskope,https://www.crunchbase.com/organization/netskope,Series E,"$100,000,000","Jun 6, 2017",Late Stage Venture,,6,4,Yes
Series A - Soldo,https://www.crunchbase.com/funding_round/soldo-series-a--e77eb6e3,Soldo,https://www.crunchbase.com/organization/soldo,Series A,"$11,000,000","Jun 21, 2017",Early Stage Venture,,5,,Yes
Series C - Carwow,https://www.crunchbase.com/funding_round/carwow-series-c--cbe22219,Carwow,https://www.crunchbase.com/organization/carwow,Series C,"$39,000,000","Jul 30, 2017",Late Stage Venture,,3,2,Yes
Series A - Callsign,https://www.crunchbase.com/funding_round/callsign-series-a--9bfed22c,Callsign,https://www.crunchbase.com/organization/callsign,Series A,"$35,000,000","Jul 27, 2017",Early Stage Venture,,4,2,Yes
Series B - Fingerlix,https://www.crunchbase.com/funding_round/fingerlix-series-b--4e2d7478,Fingerlix,https://www.crunchbase.com/organization/fingerlix,Series B,"$7,000,000","Oct 17, 2017",Early Stage Venture,,2,,Yes
Series C - Cohesity,https://www.crunchbase.com/funding_round/cohesity-series-c--a2f241f9,Cohesity,https://www.crunchbase.com/organization/cohesity,Series C,"$90,000,000","Apr 4, 2017",Late Stage Venture,,12,4,Yes
Seed Round - PrimaryIO,https://www.crunchbase.com/funding_round/primaryio-seed--d0c1289d,PrimaryIO,https://www.crunchbase.com/organization/primaryio,Seed,"$5,600,000","Aug 25, 2017",Seed,,3,,Yes
Series C - Sysdig,https://www.crunchbase.com/funding_round/sysdig-series-c--40d23af1,Sysdig,https://www.crunchbase.com/organization/sysdig,Series C,"$25,000,000","Oct 12, 2017",Late Stage Venture,,1,,Yes
Series A - Sense,https://www.crunchbase.com/funding_round/sense-7-series-a--722f386d,Sense,https://www.crunchbase.com/organization/sense-7,Series A,"$10,000,000","Jun 21, 2017",Early Stage Venture,,5,,Yes
Series B - Neoway,https://www.crunchbase.com/funding_round/neoway-series-b--548a0438,Neoway,https://www.crunchbase.com/organization/neoway,Series B,"$45,000,000","Jun 23, 2017",Early Stage Venture,,5,1,Yes
Series A - Axio Biosolutions Private Limited,https://www.crunchbase.com/funding_round/axio-biosolutions-private-limited-series-a--311ca7b3,Axio Biosolutions Private Limited,https://www.crunchbase.com/organization/axio-biosolutions-private-limited,Series A,"$2,100,000","May 26, 2016",Early Stage Venture,,2,,Yes
Series A - Zinka Logistics,https://www.crunchbase.com/funding_round/zinka-logistics-series-a--56298204,Zinka Logistics,https://www.crunchbase.com/organization/zinka-logistics,Series A,"$5,000,000","Jul 22, 2015",Early Stage Venture,,2,,Yes
Series D - Hudl,https://www.crunchbase.com/funding_round/hudl-series-d--f845790c,Hudl,https://www.crunchbase.com/organization/hudl,Series D,"$30,000,000","Jul 6, 2017",Late Stage Venture,,4,,Yes
Series A - GlowRoad,https://www.crunchbase.com/funding_round/glowroad-series-a--17b3129a,GlowRoad,https://www.crunchbase.com/organization/glowroad,Series A,"$2,000,000","Sep 13, 2017",Early Stage Venture,,1,,Yes
Series C - UrbanClap,https://www.crunchbase.com/funding_round/urbanclap-series-c--1e819ec2,UrbanClap,https://www.crunchbase.com/organization/urbanclap,Series C,"$21,000,000","Jul 3, 2017",Late Stage Venture,,4,,Yes
Seed Round - Transit,https://www.crunchbase.com/funding_round/transit-seed--e56a042b,Transit,https://www.crunchbase.com/organization/transit,Seed,"CA$2,400,000","Dec 23, 2015",Seed,,4,,Yes
Series A - Amitree,https://www.crunchbase.com/funding_round/amitree-series-a--e8b275c0,Amitree,https://www.crunchbase.com/organization/amitree,Series A,"$7,128,000","Aug 25, 2017",Early Stage Venture,,2,,Yes
