Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Number of Investors,Number of Partner Investors,Equity Only Funding
Series D - Kagoor Networks,https://www.crunchbase.com/funding_round/kagoor-networks-series-d--367107ef,Kagoor Networks,https://www.crunchbase.com/organization/kagoor-networks,Series D,"$9,000,000","Sep 13, 2004",Late Stage Venture,,2,,Yes
Series A - ItemField,https://www.crunchbase.com/funding_round/itemfield-2-series-a--4843ec4a,ItemField,https://www.crunchbase.com/organization/itemfield-2,Series A,"$4,000,000","Mar 5, 2003",Early Stage Venture,,3,1,Yes
Series A - Invoice2go,https://www.crunchbase.com/funding_round/invoice2go-series-a--90e397fd,Invoice2go,https://www.crunchbase.com/organization/invoice2go,Series A,"$20,000,000","Apr 1, 2014",Early Stage Venture,,1,2,Yes
Seed Round - Cubeit,https://www.crunchbase.com/funding_round/grid-ant-technologies-seed--f64e3372,Cubeit,https://www.crunchbase.com/organization/grid-ant-technologies,Seed,"$3,000,000","Sep 2, 2014",Seed,,2,,Yes
Series A - Squarespace,https://www.crunchbase.com/funding_round/squarespace-series-a--0314a1d9,Squarespace,https://www.crunchbase.com/organization/squarespace,Series A,"$38,500,000","Jul 13, 2010",Early Stage Venture,,2,2,Yes
Seed Round - Crunched,https://www.crunchbase.com/funding_round/salescrunch-seed--277fd6ca,Crunched,https://www.crunchbase.com/organization/salescrunch,Seed,"$1,400,000","Jan 12, 2011",Seed,,6,2,Yes
Series B - New Edge Networks,https://www.crunchbase.com/funding_round/new-edge-networks-series-b--31ab84ac,New Edge Networks,https://www.crunchbase.com/organization/new-edge-networks,Series B,"$62,500,000","Jan 18, 2000",Early Stage Venture,,4,,Yes
Series B - Kosmix,https://www.crunchbase.com/funding_round/kosmix-series-b--d500cb71,Kosmix,https://www.crunchbase.com/organization/kosmix,Series B,"$18,000,000","Jan 1, 2006",Early Stage Venture,,2,2,Yes
Series A - Scripbox,https://www.crunchbase.com/funding_round/scripbox-series-a--a904c474,Scripbox,https://www.crunchbase.com/organization/scripbox,Series A,"$2,500,000","Aug 12, 2015",Early Stage Venture,,6,,Yes
Series D - KupiVIP,https://www.crunchbase.com/funding_round/kupivip-series-d--446e5312,KupiVIP,https://www.crunchbase.com/organization/kupivip,Series D,"$38,000,000","Jun 21, 2012",Late Stage Venture,,5,5,Yes
Seed Round - FreshGrade,https://www.crunchbase.com/funding_round/freshgrade-seed--d4313f58,FreshGrade,https://www.crunchbase.com/organization/freshgrade,Seed,"$4,300,000","Aug 15, 2014",Seed,,4,,Yes
Series A - IronPlanet,https://www.crunchbase.com/funding_round/ironplanet-series-a--20a9ff3d,IronPlanet,https://www.crunchbase.com/organization/ironplanet,Series A,"$10,000,000","Feb 8, 2000",Early Stage Venture,,2,2,Yes
Series D - Jasper Design Automation,https://www.crunchbase.com/funding_round/jasper-design-automation-series-d--b850c57b,Jasper Design Automation,https://www.crunchbase.com/organization/jasper-design-automation,Series D,"$7,000,000","Feb 18, 2009",Late Stage Venture,,6,5,Yes
