Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Unifrax,https://www.crunchbase.com/organization/unifrax-corporation,,"Niagara Falls, New York, United States","Unifrax Corporation develops, produces, and sells high temperature insulation products for various industrial applications.","157,844",1891,Active,,For Profit,,,,,,,,1001-5000,1,M&A,"Jul 9, 1998","$225,037",Grant,,,,"$225,037",,1,Was Acquired,Private,,,,
Finelite,https://www.crunchbase.com/organization/finelite,,"Union City, California, United States",Finelite provides energy efficient LED task lighting for sustainable classrooms and offices.,"160,886",1991,Active,,,,,,,,,,501-1000,1,M&A,"Mar 22, 2006","$190,408",Grant,,,,"$190,408",,1,Was Acquired,Private,,,,
DayStar Technologies,https://www.crunchbase.com/organization/daystar-technologies,"Energy, Information Technology, Manufacturing","Kelowna, British Columbia, Canada","DayStar is positioned to become the world's leading manufacturer of low-cost, high performance, CIGS thin film photovoltaic products for","161,308",1997,Active,,,,,,,,,1,51-100,1,IPO,"Jan 28, 2005","$600,000",Grant,,,,"$600,000",,1,,Public,"Apr 2, 2004",,,"$10,500,000"
PCB Group,https://www.crunchbase.com/organization/pcb-group,"Consumer Electronics, Hardware","Depew, New York, United States","PCB Group is a manufacturer of piezoelectric quartz sensors, accelerometers, and associated electronics.","162,124",1967,Active,,For Profit,,,,,,,,501-1000,1,M&A,"Jan 12, 2000","$200,000",Grant,,,,"$200,000",,1,Was Acquired,Private,,,,
Evergreen Solar,https://www.crunchbase.com/organization/evergreen-solar,"Energy, Natural Resources, Sustainability","Marlboro, New Jersey, United States",To provide products for reliable and environmentally clean electric power for residential and commercial applications globally.,"173,212",1994,Closed,"Mar 1, 2011",For Profit,,,,,,,1,501-1000,1,IPO,"Mar 17, 1997","$71,033",Grant,,,,"$71,033",,1,,Public,"Nov 2, 2000",,,
Refron,https://www.crunchbase.com/organization/refron,,"Long Island City, New York, United States",Refron a nationwide reseller and distributor of refrigerants that also provides technical services and refrigerant reclamation services.,"219,783",1950,Active,,For Profit,,,,,,,,,1,M&A,"Sep 1, 1996","$224,512",Grant,,,,"$224,512",,1,Was Acquired,Private,,,,
Applied Energy Group ,https://www.crunchbase.com/organization/applied-energy-group-inc,,"Hauppauge, New York, United States","Applied Energy Group a consulting firm that provides services & systems to the energy industry, electric and gas utilities and governments.","231,829",1982,Active,,For Profit,,,,,,,,51-100,4,M&A,"May 5, 2003","$565,147",Grant,,,,"$1,242,471",,1,Was Acquired,Private,,,,
Hudson Technologies,https://www.crunchbase.com/organization/hudson-technologies-company,,"Pearl River, New York, United States",Hudson Technologies is a provider of innovative and sustainable solutions for optimizing performance and enhancing reliability.,"242,076",1991,Active,,For Profit,,,,,,,,101-250,1,IPO,"Mar 29, 2000","$248,518",Grant,,,,"$248,518",,1,Made Acquisitions,Public,"Nov 11, 1994",,,
Mobile Climate Control,https://www.crunchbase.com/organization/mobile-climate-control-corporation,Manufacturing,"Utica, New York, United States","MCC develops, manufactures and sells complete climate control systems for commercial vehicles.","277,812",,Active,,For Profit,,,,,,,,501-1000,1,M&A,"Mar 31, 1998","$99,831",Grant,,,,"$99,831",,1,Was Acquired,Private,,,,
KeySpan,https://www.crunchbase.com/organization/keyspan-corporation,"Energy, Natural Resources","Hicksville, New York, United States",KeySpan Corporation distributes natural gases in the United States.,"353,156",1895,Active,,For Profit,,,,,,,1,,1,M&A,"Jul 22, 1996","$218,653",Grant,,,,"$218,653",,1,Was Acquired,Private,,,,
R. Brooks Associates,https://www.crunchbase.com/organization/r-brooks-associates-inc,,"Williamson, New York, United States","Company provides secondary steam generator inspection and recovery solutions to the commercial nuclear power industry in the United States,","457,720",1984,Active,,For Profit,,,,,,,,,1,M&A,"Dec 9, 1997","$249,985",Grant,,,,"$249,985",,1,Was Acquired,Private,,,,
Ducommun AeroStructures New York,https://www.crunchbase.com/organization/dynabil-industries-inc,"Manufacturing, Science and Engineering","Coxsackie, New York, United States",Ducommun AeroStructures New York is a provider of titanium and aluminum structural components and assemblies.,"578,009",1977,Active,,For Profit,,,,,,,,,1,M&A,"Jan 27, 1998","$73,152",Grant,,,,"$73,152",,1,Was Acquired,Private,,,,
